ra,dec,sy_name,hostname,sy_snum,sy_pnum,sy_mnum,st_mass,sy_plx
311.2911369,-31.3424500,"AU Mic","AU Mic",1,3,0,0.50,102.8290000
311.2911369,-31.3424500,"AU Mic","AU Mic",1,3,0,,102.8290000
353.9543517,0.4447043,"HIP 116454","HIP 116454",2,1,0,0.81,15.9843000
311.2911369,-31.3424500,"AU Mic","AU Mic",1,3,0,,102.8290000
163.4873940,-25.5245988,"TOI-2981","TOI-2981",1,1,0,1.13,1.8660400
311.2911369,-31.3424500,"AU Mic","AU Mic",1,3,0,,102.8290000
124.5328604,-68.3144658,"L 98-59","L 98-59",1,4,0,,94.1385000
311.2911369,-31.3424500,"AU Mic","AU Mic",1,3,0,0.50,102.8290000
207.5260010,-40.8358961,"HIP 67522","HIP 67522",1,2,0,,7.8288000
191.9815310,9.7494181,"GJ 486","GJ 486",1,1,0,,123.8210000
204.5426717,-28.1429206,"TOI-4914","TOI-4914",1,1,0,1.03,3.3062700
191.9815310,9.7494181,"GJ 486","GJ 486",1,1,0,,123.8210000
61.4012482,-14.9267458,"TOI-2714","TOI-2714",1,1,0,1.02,1.6437000
191.9815310,9.7494181,"GJ 486","GJ 486",1,1,0,,123.8210000
124.5328604,-68.3144658,"L 98-59","L 98-59",1,4,0,0.31,94.1385000
311.2911369,-31.3424500,"AU Mic","AU Mic",1,3,0,0.50,102.8290000
207.5260010,-40.8358961,"HIP 67522","HIP 67522",1,2,0,,7.8288000
124.5328604,-68.3144658,"L 98-59","L 98-59",1,4,0,,94.1385000
204.5426717,-28.1429206,"TOI-4914","TOI-4914",1,1,0,,3.3062700
311.2911369,-31.3424500,"AU Mic","AU Mic",1,3,0,0.66,102.8290000
311.2911369,-31.3424500,"AU Mic","AU Mic",1,3,0,,102.8290000
112.0100593,-63.5177788,"TOI-4562","TOI-4562",1,2,0,1.19,2.9158400
204.5426717,-28.1429206,"TOI-4914","TOI-4914",1,1,0,1.04,3.3062700
353.9543517,0.4447043,"HIP 116454","HIP 116454",2,1,0,,15.9843000
112.0100593,-63.5177788,"TOI-4562","TOI-4562",1,2,0,,2.9158400
353.9543517,0.4447043,"HIP 116454","HIP 116454",2,1,0,0.83,15.9843000
353.9543517,0.4447043,"HIP 116454","HIP 116454",2,1,0,0.78,15.9843000
191.9815310,9.7494181,"GJ 486","GJ 486",1,1,0,0.31,123.8210000
207.5260010,-40.8358961,"HIP 67522","HIP 67522",1,2,0,,7.8288000
191.9815310,9.7494181,"GJ 486","GJ 486",1,1,0,0.31,123.8210000
311.2911369,-31.3424500,"AU Mic","AU Mic",1,3,0,,102.8290000
207.5260010,-40.8358961,"HIP 67522","HIP 67522",1,2,0,1.03,7.8288000
124.5328604,-68.3144658,"L 98-59","L 98-59",1,4,0,,94.1385000
163.4873940,-25.5245988,"TOI-2981","TOI-2981",1,1,0,1.03,1.8660400
311.2911369,-31.3424500,"AU Mic","AU Mic",1,3,0,0.50,102.8290000
191.9815310,9.7494181,"GJ 486","GJ 486",1,1,0,0.34,123.8210000
311.2911369,-31.3424500,"AU Mic","AU Mic",1,3,0,,102.8290000
353.9543517,0.4447043,"HIP 116454","HIP 116454",2,1,0,0.80,15.9843000
163.4873940,-25.5245988,"TOI-2981","TOI-2981",1,1,0,,1.8660400
61.4012482,-14.9267458,"TOI-2714","TOI-2714",1,1,0,1.07,1.6437000
112.0100593,-63.5177788,"TOI-4562","TOI-4562",1,2,0,1.09,2.9158400
311.2911369,-31.3424500,"AU Mic","AU Mic",1,3,0,,102.8290000
124.5328604,-68.3144658,"L 98-59","L 98-59",1,4,0,0.31,94.1385000
311.2911369,-31.3424500,"AU Mic","AU Mic",1,3,0,0.50,102.8290000
