pl_name,hostname,pl_masse,pl_rade,ra,dec,sy_dist
"HATS-63 b","HATS-63",,12.518,67.4185820,-28.1972149,623.2320000
"HATS-67 b","HATS-67",,16.767,180.2087883,-46.1364201,960.1090000
"HATS-61 b","HATS-61",,,61.6578005,-25.3496674,679.7610000
"HATS-67 b","HATS-67",,,180.2087883,-46.1364201,960.1090000
"HATS-68 b","HATS-68",,,15.0060770,-58.9047242,603.9550000
"WASP-76 b","WASP-76",,,26.6329360,2.7003890,194.4590000
"HAT-P-7 b","HAT-P-7",,,292.2471900,47.9695429,341.0790000
"HATS-64 b","HATS-64",,,144.2876092,-29.8004440,1080.1500000
"HATS-65 b","HATS-65",,,292.9397825,-26.7402021,493.3200000
"51 Eri b","51 Eri",,,69.4007424,-2.4738245,29.7575000
"HATS-67 b","HATS-67",,,180.2087883,-46.1364201,960.1090000
"HD 108236 b","HD 108236",,,186.5740627,-51.3630519,64.5978000
"HD 108236 c","HD 108236",,,186.5740627,-51.3630519,64.5978000
"HD 108236 d","HD 108236",,,186.5740627,-51.3630519,64.5978000
"HD 108236 e","HD 108236",,,186.5740627,-51.3630519,64.5978000
"KELT-7 b","KELT-7",,,78.2955912,33.3179532,136.6810000
"KOI-13 b","KOI-13",,,286.9713876,46.8682463,519.0960000
"WASP-62 b","WASP-62",,,87.1398205,-63.9883286,175.6310000
"WASP-74 b","WASP-74",,,304.5388430,-1.0760033,149.2160000
"WASP-76 b","WASP-76",,,26.6329360,2.7003890,194.4590000
"TOI-1224 b","TOI-1224",,2.102,37.1978356,-80.8991053,37.3312000
"TOI-1224 c","TOI-1224",,3.384,37.1978356,-80.8991053,37.3312000
"KELT-7 b","KELT-7",,,78.2955912,33.3179532,136.6810000
"TOI-1224 b","TOI-1224",,2.104,37.1978356,-80.8991053,37.3312000
"TOI-1224 c","TOI-1224",,2.884,37.1978356,-80.8991053,37.3312000
"KELT-7 b","KELT-7",,,78.2955912,33.3179532,136.6810000
"WASP-62 b","WASP-62",,,87.1398205,-63.9883286,175.6310000
"WASP-74 b","WASP-74",,,304.5388430,-1.0760033,149.2160000
"WASP-76 b","WASP-76",289.22385,20.681,26.6329360,2.7003890,194.4590000
"WASP-76 b","WASP-76",,,26.6329360,2.7003890,194.4590000
"HD 48948 b","HD 48948",,,102.4898110,60.3373133,16.9043000
"HD 48948 c","HD 48948",,,102.4898110,60.3373133,16.9043000
"HD 48948 d","HD 48948",,,102.4898110,60.3373133,16.9043000
"WASP-76 b","WASP-76",284.13860,20.781,26.6329360,2.7003890,194.4590000
"OGLE-2014-BLG-0221L b","OGLE-2014-BLG-0221L",1382.55357,,270.3037500,-27.4267639,3680.0000000
"OGLE-2014-BLG-0221L b","OGLE-2014-BLG-0221L",22934.49785,,270.3037500,-27.4267639,6750.0000000
"OGLE-2014-BLG-0221L b","OGLE-2014-BLG-0221L",15452.81715,,270.3037500,-27.4267639,2940.0000000
"GQ Lup b","GQ Lup",9852.73000,51.561,237.3003643,-35.6515055,151.1690000
"bet Pic b","bet Pic",,,86.8212337,-51.0661480,19.7442000
"PDS 70 b","PDS 70",2542.64000,14.572,212.0421402,-41.3980405,113.0640000
"PDS 70 b","PDS 70",,,212.0421402,-41.3980405,113.0640000
"51 Eri b","51 Eri",,,69.4007424,-2.4738245,29.7575000
"PDS 70 b","PDS 70",953.49000,30.488,212.0421402,-41.3980405,113.0640000
"bet Pic b","bet Pic",2542.53300,,86.8212337,-51.0661480,19.7442000
"bet Pic b","bet Pic",3727.80939,,86.8212337,-51.0661480,19.7442000
"51 Eri b","51 Eri",635.66000,,69.4007424,-2.4738245,29.7575000
"VHS J125601.92-125723.9 b","VHS J125601.92-125723.9",13762.03900,,194.0089640,-12.9560310,
"VHS J125601.92-125723.9 b","VHS J125601.92-125723.9",3813.94088,14.572,194.0089640,-12.9560310,
"VHS J125601.92-125723.9 b","VHS J125601.92-125723.9",3559.69600,,194.0089640,-12.9560310,
"bet Pic b","bet Pic",3496.13000,,86.8212337,-51.0661480,19.7442000
"bet Pic b","bet Pic",,,86.8212337,-51.0661480,19.7442000
"VHS J125601.92-125723.9 b","VHS J125601.92-125723.9",5085.25451,13.675,194.0089640,-12.9560310,
"VHS J125601.92-125723.9 b","VHS J125601.92-125723.9",13603.12400,,194.0089640,-12.9560310,
"2MASS J12073346-3932539 b","2MASS J12073346-3932539",1271.00000,,181.8890906,-39.5484399,64.3080000
"GQ Lup b","GQ Lup",6356.00000,33.600,237.3003643,-35.6515055,151.1690000
"PDS 70 c","PDS 70",635.66000,22.866,212.0421402,-41.3980405,113.0640000
"bet Pic b","bet Pic",6356.00000,16.800,86.8212337,-51.0661480,19.7442000
"bet Pic c","bet Pic",3222.46222,,86.8212337,-51.0661480,19.7442000
"2MASS J12073346-3932539 b","2MASS J12073346-3932539",1589.15000,,181.8890906,-39.5484399,64.3080000
"bet Pic c","bet Pic",2860.47000,,86.8212337,-51.0661480,19.7442000
"bet Pic b","bet Pic",3146.51700,,86.8212337,-51.0661480,19.7442000
