pl_name,hostname,pl_masse,pl_rade,ra,dec,sy_dist
"TOI-270 c","TOI-270",,2.420,68.4160804,-51.9573937,22.4793000
"WASP-53 c","WASP-53",,,31.9091639,-20.6618430,201.3380000
"TOI-1437 b","TOI-1437",9.60000,2.240,256.1387513,56.8425490,103.2970000
"HD 183579 b","HD 183579",20.40000,3.490,293.2866147,-54.5327284,57.2651000
"TOI-1842 b","TOI-1842",60.38740,11.882,201.9626552,9.0306437,223.4650000
"KELT-24 b","KELT-24",1458.83239,12.711,161.9090273,71.6557270,96.5173000
"TOI-3714 b","TOI-3714",218.98377,11.142,69.5523415,39.4580035,112.7100000
"TOI-286 b","TOI-286",4.53000,1.420,90.9842762,-60.6663348,59.2293000
"TOI-286 c","TOI-286",3.72000,1.880,90.9842762,-60.6663348,59.2293000
"L 168-9 b","L 168-9",4.07000,1.630,350.0285917,-60.0657292,25.1496000
"TOI-1130 b","TOI-1130",19.80000,3.660,286.3760037,-41.4376399,58.2609000
"TOI-1411 b","TOI-1411",,1.404,232.9460470,47.0555507,32.4778000
"HIP 97166 b","HIP 97166",19.10000,2.480,296.2446203,74.0628577,65.9501000
"HIP 97166 c","HIP 97166",,,296.2446203,74.0628577,65.9501000
"TOI-1272 b","TOI-1272",27.00000,4.132,199.1962036,49.8610591,137.5720000
"TOI-1272 c","TOI-1272",,,199.1962036,49.8610591,137.5720000
"TOI-1742 b","TOI-1742",9.70000,2.365,257.3288678,71.8766724,72.8871000
"WASP-15 b","WASP-15",175.12433,15.457,208.9280111,-32.1597118,282.0910000
"WASP-139 b","WASP-139",37.18611,8.967,49.5621730,-41.3020235,212.4720000
"Kepler-6 b","Kepler-6",201.18639,13.103,296.8372475,48.2399695,587.0390000
"TOI-480 b","TOI-480",,2.814,88.3784618,-16.2653974,54.5306000
"Kepler-6 b","Kepler-6",,13.410,296.8372475,48.2399695,587.0390000
"TOI-270 b","TOI-270",,1.184,68.4160804,-51.9573937,22.4793000
"TOI-122 b","TOI-122",,2.635,332.9482355,-58.9460850,62.1180000
"KOI-12 b","KOI-12",,14.433,297.4537402,41.0110188,399.3980000
"TOI-3757 b","TOI-3757",,12.438,91.0036423,55.0199793,181.1390000
"WASP-46 b","WASP-46",667.73300,14.684,318.7370122,-55.8718634,375.3100000
"Kepler-6 b","Kepler-6",205.63601,13.103,296.8372475,48.2399695,587.0390000
"TOI-532 b","TOI-532",61.50000,5.820,85.0800537,11.5626373,135.0470000
"HATS-25 b","HATS-25",,,207.9076746,-23.7812403,471.1580000
"WASP-5 b","WASP-5",,,359.3490277,-41.2772202,309.1370000
"TOI-4010 b","TOI-4010",11.00000,3.020,20.2148196,66.0722009,177.5040000
"WASP-53 b","WASP-53",,,31.9091639,-20.6618430,201.3380000
"WASP-63 b","WASP-63",,15.177,94.3363562,-38.3233826,290.6840000
"TOI-1855 b","TOI-1855",360.09959,18.495,205.3539534,17.6868719,176.8330000
"TOI-4379 b","TOI-4379",353.74302,16.690,252.0478813,-32.4337532,645.1580000
"HATS-3 b","HATS-3",,,312.4574879,-24.4286938,411.2110000
"HD 18599 b","HD 18599",24.10000,2.600,44.2620144,-56.1918694,38.5653000
"GJ 1252 b","GJ 1252",,1.349,306.9286462,-56.4622865,20.3730000
"TOI-270 c","TOI-270",,2.407,68.4160804,-51.9573937,22.4793000
"WASP-15 b","WASP-15",179.89178,,208.9280111,-32.1597118,282.0910000
"HAT-P-19 b","HAT-P-19",,,9.5165832,34.7114025,202.0780000
"WASP-15 b","WASP-15",,,208.9280111,-32.1597118,282.0910000
"WASP-91 b","WASP-91",,,357.8464340,-70.1528621,149.9420000
"HATS-14 b","HATS-14",,,313.2154754,-25.6873756,513.0110000
"WASP-16 b","WASP-16",288.58964,11.299,214.6830109,-20.2754374,194.1340000
"TOI-216.02","TOI-216",30.00000,7.690,73.9800129,-63.2603301,177.9450000
"TOI-220 b","TOI-220",13.80000,3.030,91.7996988,-61.9972098,90.7402000
"HATS-3 b","HATS-3",174.80650,11.097,312.4574879,-24.4286938,411.2110000
"HATS-24 b","HATS-24",718.29580,15.637,268.8907069,-61.7474000,494.1820000
"TOI-2459 b","TOI-2459",,2.953,82.1433321,-39.3730456,36.6113000
"WASP-5 b","WASP-5",498.33600,13.081,359.3490277,-41.2772202,309.1370000
"TOI-2107 b","TOI-2107",263.79758,13.574,286.7965405,-58.6968348,236.7050000
"TOI-470 b","TOI-470",,4.613,94.0099043,-25.0314111,130.4600000
"HATS-24 b","HATS-24",775.50520,16.668,268.8907069,-61.7474000,494.1820000
"WASP-16 b","WASP-16",,,214.6830109,-20.2754374,194.1340000
"TOI-406.01","TOI-406",,1.960,49.2626428,-42.2441492,31.0597000
"WASP-126 b","WASP-126",,,63.3747060,-69.2265926,216.5260000
"TOI-3757 b","TOI-3757",85.30000,12.000,91.0036423,55.0199793,181.1390000
"WASP-63 b","WASP-63",,,94.3363562,-38.3233826,290.6840000
"HD 42813 b","HD 42813",5.80000,3.360,93.0578446,-14.6493167,68.1920000
"WASP-132 b","WASP-132",,10.050,217.6091998,-46.1595160,122.9100000
"WASP-126 b","WASP-126",88.99240,10.761,63.3747060,-69.2265926,216.5260000
"TOI-2368 b","TOI-2368",206.58846,10.839,134.9576234,-48.4884929,210.9150000
"HATS-3 b","HATS-3",,,312.4574879,-24.4286938,411.2110000
"TOI-216.02","TOI-216",,6.484,73.9800129,-63.2603301,177.9450000
"TOI-4010 d","TOI-4010",,6.547,20.2148196,66.0722009,177.5040000
"HATS-52 b","HATS-52",711.93920,15.491,140.0875894,-31.2692116,555.1340000
"HIP 29442 c","HD 42813",4.50000,1.551,93.0578446,-14.6493167,68.1920000
"KOI-12 b","KOI-12",3178.30000,16.029,297.4537402,41.0110188,399.3980000
"WASP-15 b","WASP-15",171.62820,15.805,208.9280111,-32.1597118,282.0910000
"WASP-16 b","WASP-16",,,214.6830109,-20.2754374,194.1340000
"HATS-70 b","HATS-70",,,109.1045212,-31.2443947,1458.8300000
"WASP-190 b","WASP-190",317.83000,12.890,7.7095292,-40.5734613,542.2510000
"WASP-181 b","WASP-181",,14.099,26.7932253,3.1329325,437.4950000
"HAT-P-69 b","HAT-P-69",,,130.5056385,3.7105662,341.2630000
"WASP-169 b","WASP-169",,18.370,127.3872297,-12.9447683,627.0660000
"TOI-3568 b","TOI-3568",26.40000,5.300,322.6023682,34.7395805,197.9060000
"WASP-16 b","WASP-16",,,214.6830109,-20.2754374,194.1340000
"HATS-14 b","HATS-14",,,313.2154754,-25.6873756,513.0110000
"TOI-3714 b","TOI-3714",222.47988,11.321,69.5523415,39.4580035,112.7100000
"HAT-P-19 b","HAT-P-19",,11.544,9.5165832,34.7114025,202.0780000
"KOI-12 b","KOI-12",,,297.4537402,41.0110188,399.3980000
"WASP-5 b","WASP-5",506.93885,13.171,359.3490277,-41.2772202,309.1370000
"TOI-122 b","TOI-122",,,332.9482355,-58.9460850,62.1180000
"TOI-270 d","TOI-270",4.78000,2.133,68.4160804,-51.9573937,22.4793000
"HD 109833 c","HD 109833",,2.614,189.7758591,-74.5740205,79.5561000
"WASP-91 b","WASP-91",425.89220,11.545,357.8464340,-70.1528621,149.9420000
"WASP-5 b","WASP-5",,,359.3490277,-41.2772202,309.1370000
"WASP-5 b","WASP-5",,,359.3490277,-41.2772202,309.1370000
"WASP-46 b","WASP-46",,13.187,318.7370122,-55.8718634,375.3100000
"HD 109833 b","HD 109833",,2.888,189.7758591,-74.5740205,79.5561000
"TOI-251 b","TOI-251",,2.827,353.0620655,-37.2558629,99.5230000
"WASP-169 b","WASP-169",,,127.3872297,-12.9447683,627.0660000
"WASP-180 A b","WASP-180 A",,,123.3922465,-1.9827874,253.9850000
"TOI-125 c","TOI-125",,2.790,23.5934253,-66.6763495,111.0590000
"TOI-1728 b","TOI-1728",,4.939,120.6116787,64.7971531,60.7980000
"TOI-157 b","TOI-157",,13.443,73.7014398,-76.6806061,355.6830000
"TOI-481 b","TOI-481",,,110.5126861,-57.3849980,179.3660000
"TOI-905 b","TOI-905",,13.932,227.6586754,-71.3616316,158.6490000
"HAT-P-62 b","HAT-P-62",241.86742,12.027,74.5043816,48.3008551,348.8150000
"TOI-1130 c","TOI-1130",336.00000,13.000,286.3760037,-41.4376399,58.2609000
"Kepler-18 c","Kepler-18",,4.910,298.0794448,44.7462480,433.0470000
"Kepler-422 b","Kepler-422",136.66000,12.890,282.6296334,46.3232807,722.7950000
"Qatar-4 b","Qatar-4",,,4.8592750,44.0275965,329.0360000
"HD 42813 b","HD 42813",5.90000,3.426,93.0578446,-14.6493167,68.1920000
"Kepler-6 b","Kepler-6",,12.902,296.8372475,48.2399695,587.0390000
"KOI-94 d","KOI-94",,,297.3330716,41.8911186,477.0520000
"KOI-94 d","KOI-94",,11.400,297.3330716,41.8911186,477.0520000
"Kepler-12 b","Kepler-12",,18.050,286.2434458,50.0403671,881.3860000
"Kepler-396 c","Kepler-396",17.90000,5.300,296.1328135,48.9773095,223.7570000
"Kepler-396 c","Kepler-396",,6.070,296.1328135,48.9773095,223.7570000
"Kepler-396 b","Kepler-396",,3.110,296.1328135,48.9773095,223.7570000
"Kepler-5 b","Kepler-5",,,299.4070341,44.0350387,899.7770000
"KOI-94 e","KOI-94",,5.890,297.3330716,41.8911186,477.0520000
"Kepler-435 b","Kepler-435",,,292.2873012,43.1972542,1418.7700000
"Kepler-7 b","Kepler-7",,,288.5814928,41.0897335,922.5620000
"WASP-46 b","WASP-46",603.87700,13.159,318.7370122,-55.8718634,375.3100000
"GJ 1252 b","GJ 1252",1.32000,1.180,306.9286462,-56.4622865,20.3730000
"HAT-P-38 b","HAT-P-38",84.86061,9.247,35.3834942,32.2460441,255.2060000
"HATS-3 b","HATS-3",,,312.4574879,-24.4286938,411.2110000
"Kepler-447 b","Kepler-447",,,285.2685283,48.5598835,268.0410000
"Kepler-396 b","Kepler-396",,3.490,296.1328135,48.9773095,223.7570000
"pi Men c","HD 39091",4.82000,2.042,84.2992798,-80.4646041,18.2702000
"pi Men d","HD 39091",,,84.2992798,-80.4646041,18.2702000
"GJ 357 b","GJ 357",1.84000,1.217,144.0074644,-21.6650634,9.4418100
"GJ 436 b","GJ 436",23.13802,4.191,175.5505363,26.7030669,9.7532100
"GJ 436 b","GJ 436",,4.040,175.5505363,26.7030669,9.7532100
"HD 110113 c","HD 110113",,,190.0365636,-44.3120777,106.3070000
"TOI-700 c","TOI-700",,2.630,97.0957165,-65.5786149,31.1265000
"HAT-P-17 b","HAT-P-17",,,324.5359781,30.4881882,92.3831000
"HAT-P-68 b","HAT-P-68",230.10892,12.016,118.4831501,23.9382192,202.1520000
"TrES-1 b","TrES-1",266.97720,12.666,286.0408755,36.6325360,159.6580000
"HD 39091 b","HD 39091",,,84.2992798,-80.4646041,18.2702000
"WASP-2 b","WASP-2",,,307.7255587,6.4293305,153.2420000
"WASP-2 b","WASP-2",,11.999,307.7255587,6.4293305,153.2420000
"HAT-P-3 b","HAT-P-3",206.58950,10.536,206.0940142,48.0285650,134.5540000
"XO-3 b","XO-3",,,65.4695814,57.8172095,213.0530000
"HAT-P-4 b","HAT-P-4",176.71348,15.323,229.9912200,36.2295450,320.4510000
"CoRoT-2 b","CoRoT-2",,16.923,291.7770457,1.3836634,213.2830000
"HD 219134 c","HD 219134",,,348.3372026,57.1696255,6.5312700
"HD 219134 h","HD 219134",,,348.3372026,57.1696255,6.5312700
"HD 219134 f","HD 219134",,,348.3372026,57.1696255,6.5312700
"HAT-P-6 b","HAT-P-6",,,354.7740917,42.4659866,275.3580000
"WASP-10 b","WASP-10",,,348.9930457,31.4627508,140.9980000
"WASP-17 b","WASP-17",151.60491,21.656,239.9622479,-28.0617941,405.9080000
"WASP-63 b","WASP-63",120.77000,16.029,94.3363562,-38.3233826,290.6840000
"WASP-16 b","WASP-16",272.00000,11.300,214.6830109,-20.2754374,194.1340000
"TOI-4153 b","TOI-4153",365.50267,16.119,335.3934698,82.2160792,423.8400000
"HAT-P-51 b","HAT-P-51",,,21.0651251,32.8107000,440.0890000
"WASP-17 b","WASP-17",,19.167,239.9622479,-28.0617941,405.9080000
"HAT-P-14 b","HAT-P-14",709.39656,12.801,260.1161719,38.2421682,222.6630000
"HAT-P-14 b","HAT-P-14",,,260.1161719,38.2421682,222.6630000
"WASP-26 b","WASP-26",,13.804,4.6030424,-15.2674044,252.7590000
"WASP-29 b","WASP-29",77.54700,8.878,357.8791976,-39.9071215,87.5953000
"HAT-P-15 b","HAT-P-15",616.59020,11.882,66.2481420,39.4606020,192.5160000
"HAT-P-23 b","HAT-P-23",,,306.1239076,16.7621462,364.8130000
"WASP-15 b","WASP-15",,14.937,208.9280111,-32.1597118,282.0910000
"WASP-126 b","WASP-126",,,63.3747060,-69.2265926,216.5260000
"HATS-24 b","HATS-24",,,268.8907069,-61.7474000,494.1820000
"HD 42813 b","HD 42813",,3.549,93.0578446,-14.6493167,68.1920000
"Kepler-6 b","Kepler-6",212.31044,14.617,296.8372475,48.2399695,587.0390000
"HATS-46 b","HATS-46",,,6.7026401,-56.3161021,453.8080000
"WASP-53 b","WASP-53",,,31.9091639,-20.6618430,201.3380000
"HAT-P-24 b","HAT-P-24",,,108.8251171,14.2626064,415.3440000
"WASP-38 b","WASP-38",1093.33520,13.787,243.9597194,10.0324103,136.2400000
"HAT-P-26 b","HAT-P-26",,,213.1565508,4.0594175,141.8370000
"HAT-P-29 b","HAT-P-29",243.77561,11.926,33.1310921,51.7787754,313.5760000
"WASP-45 b","WASP-45",318.78349,13.002,5.2377567,-35.9984650,211.1960000
"HAT-P-31 b","HAT-P-31",707.80741,,271.5376722,26.4266061,344.0500000
"HAT-P-36 b","HAT-P-36",486.27990,12.890,188.2662048,44.9153672,294.4190000
"Kepler-6 b","Kepler-6",,13.410,296.8372475,48.2399695,587.0390000
"WASP-132 b","WASP-132",,,217.6091998,-46.1595160,122.9100000
"HD 18599 b","HD 18599",25.50000,2.700,44.2620144,-56.1918694,38.5653000
"WASP-126 b","WASP-126",90.30000,,63.3747060,-69.2265926,216.5260000
"TOI-4010 e","TOI-4010",,,20.2148196,66.0722009,177.5040000
"HAT-P-19 b","HAT-P-19",,,9.5165832,34.7114025,202.0780000
"WASP-57 b","WASP-57",,,223.8199788,-2.0576866,398.2760000
"WASP-52 b","WASP-52",146.20000,14.240,348.4947931,8.7610793,174.8180000
"WASP-58 b","WASP-58",,,274.7012534,45.1722194,290.4040000
"TOI-2459 b","TOI-2459",,2.937,82.1433321,-39.3730456,36.6113000
"HAT-P-51 b","HAT-P-51",97.57332,13.507,21.0651251,32.8107000,440.0890000
"WASP-15 b","WASP-15",188.15536,15.782,208.9280111,-32.1597118,282.0910000
"HAT-P-61 b","HAT-P-61",335.94463,10.077,75.4801665,50.1311784,338.8400000
"Kepler-6 b","Kepler-6",,13.380,296.8372475,48.2399695,587.0390000
"WASP-63 b","WASP-63",107.74437,14.908,94.3363562,-38.3233826,290.6840000
"HATS-6 b","HATS-6",101.38777,11.187,88.1468079,-19.0316268,169.3180000
"WASP-83 b","WASP-83",,,190.1519558,-19.2843527,271.1030000
"KELT-8 b","KELT-8",,,283.3054489,24.1272483,197.5720000
"NGTS-6 b","NGTS-6",425.57437,14.863,75.7953820,-30.3994612,308.2620000
"HATS-17 b","HATS-17",425.25654,8.709,192.1895676,-47.6136789,400.3310000
"WASP-119 b","WASP-119",,,55.9336392,-65.1937800,302.4480000
"WASP-133 b","WASP-133",,,314.5754375,-35.7966224,559.0840000
"HATS-75 b","HATS-75",156.05375,9.909,60.9493919,-25.4089214,194.9640000
"TOI-216.01","TOI-216",177.98391,10.100,73.9800129,-63.2603301,177.9450000
"TOI-480 b","TOI-480",20.80000,2.854,88.3784618,-16.2653974,54.5306000
"WASP-92 b","WASP-92",,,246.6920395,51.0411328,575.8890000
"HAT-P-66 b","HAT-P-66",,,150.5726262,53.9508237,935.4560000
"HATS-14 b","HATS-14",340.39593,11.646,313.2154754,-25.6873756,513.0110000
"HATS-35 b","HATS-35",,,296.6884420,-63.5656488,514.5550000
"NGTS-6 b","NGTS-6",,8.389,75.7953820,-30.3994612,308.2620000
"TOI-4379 b","TOI-4379",,16.521,252.0478813,-32.4337532,645.1580000
"WASP-15 b","WASP-15",,,208.9280111,-32.1597118,282.0910000
"TOI-270 b","TOI-270",,,68.4160804,-51.9573937,22.4793000
"TOI-540 b","TOI-540",,0.965,76.3096949,-47.9375391,14.0022000
"HATS-33 b","HATS-33",,12.935,294.6336944,-55.3302692,248.4600000
"HD 15337 b","HD 15337",7.51000,1.640,36.8678846,-27.6361171,44.8155000
"HATS-14 b","HATS-14",340.07810,11.657,313.2154754,-25.6873756,513.0110000
"WASP-53 b","WASP-53",,12.432,31.9091639,-20.6618430,201.3380000
"Qatar-3 b","Qatar-3",,,359.1519716,36.2129562,735.6010000
"WASP-153 b","WASP-153",,15.640,279.2624729,40.0186905,610.1760000
"KOI-12 b","KOI-12",,14.598,297.4537402,41.0110188,399.3980000
"TOI-3568 b","TOI-3568",,6.402,322.6023682,34.7395805,197.9060000
"HAT-P-51 b","HAT-P-51",,,21.0651251,32.8107000,440.0890000
"HAT-P-38 b","HAT-P-38",,,35.3834942,32.2460441,255.2060000
"WASP-5 b","WASP-5",520.28771,13.126,359.3490277,-41.2772202,309.1370000
"TOI-257 b","TOI-257",,6.379,47.5172608,-50.8322632,76.9028000
"DS Tuc A b","DS Tuc A",413.17900,5.630,354.9154673,-69.1960430,44.0622000
"WASP-36 b","WASP-36",,,131.5803897,-8.0269855,386.3460000
"WASP-139 b","WASP-139",,9.344,49.5621730,-41.3020235,212.4720000
"TOI-4010 b","TOI-4010",,3.195,20.2148196,66.0722009,177.5040000
"HATS-53 b","HATS-53",,,176.6283230,-33.8600764,585.7700000
"HATS-41 b","HATS-41",,11.543,103.5173558,-27.0504156,737.6680000
"KPS-1 b","KPS-1",,,165.1671980,64.9638452,262.7060000
"WASP-168 b","WASP-168",,,96.7446427,-46.8213635,303.9410000
"KOI-12 b","KOI-12",,13.400,297.4537402,41.0110188,399.3980000
"Kepler-5 b","Kepler-5",,,299.4070341,44.0350387,899.7770000
"HAT-P-13 b","HAT-P-13",,,129.8823772,47.3519076,246.8100000
"HAT-P-30 b","HAT-P-30",,,123.9498431,5.8368669,213.9850000
"WASP-126 b","WASP-126",,10.514,63.3747060,-69.2265926,216.5260000
"Qatar-4 b","Qatar-4",,,4.8592750,44.0275965,329.0360000
"WASP-132 b","WASP-132",,,217.6091998,-46.1595160,122.9100000
"LHS 1678 b","LHS 1678",0.35000,0.696,68.1789866,-39.7908744,19.8782000
"KOI-12 b","KOI-12",1690.85560,17.262,297.4537402,41.0110188,399.3980000
"HAT-P-33 b","HAT-P-33",,,113.1842383,33.8350214,396.1100000
"HAT-P-40 b","HAT-P-40",,,335.5129199,45.4573423,464.4690000
"HAT-P-41 b","HAT-P-41",,,297.3226523,4.6724124,348.1850000
"HD 209458 b","HD 209458",,,330.7950219,18.8842419,48.3016000
"KELT-2 A b","KELT-2 A",,,92.6640226,30.9571333,134.0580000
"KELT-3 b","KELT-3",,,148.6431193,40.3879446,210.2520000
"Qatar-1 b","Qatar-1",,,303.3818697,65.1623313,185.6150000
"WASP-100 b","WASP-100",,,68.9598159,-64.0270390,364.4110000
"WASP-101 b","WASP-101",,,98.3511016,-23.4860860,201.2240000
"WASP-103 b","WASP-103",,,249.3148604,7.1833758,375.6470000
"WASP-104 b","WASP-104",,,160.6023689,7.4350768,185.9320000
"WASP-121 b","WASP-121",,,107.6002312,-39.0972705,269.8980000
"WASP-12 b","WASP-12",,,97.6366450,29.6722662,427.2460000
"WASP-131 b","WASP-131",,,210.1935714,-30.5836084,200.0750000
"WASP-14 b","WASP-14",,,218.2766247,21.8946875,161.9970000
"WASP-18 b","WASP-18",,,24.3544618,-45.6777937,123.4830000
"TOI-270 d","TOI-270",,2.254,68.4160804,-51.9573937,22.4793000
"WASP-64 b","WASP-64",,,101.1149223,-32.8583878,369.9260000
"WASP-65 b","WASP-65",,,133.3242982,8.5230171,273.7030000
"WASP-77 A b","WASP-77 A",,,37.1555223,-7.0606675,105.1660000
"WASP-78 b","WASP-78",,,63.7562662,-22.1163901,754.2580000
"WASP-79 b","WASP-79",,,66.3709016,-30.6004362,246.6900000
"WASP-94 A b","WASP-94 A",,,313.7832393,-34.1357512,211.2110000
"WASP-97 b","WASP-97",,,24.6051389,-55.7720006,151.0680000
"HAT-P-13 b","HAT-P-13",,,129.8823772,47.3519076,246.8100000
"HAT-P-30 b","HAT-P-30",,,123.9498431,5.8368669,213.9850000
"KELT-3 b","KELT-3",,,148.6431193,40.3879446,210.2520000
"WASP-77 A b","WASP-77 A",,,37.1555223,-7.0606675,105.1660000
"Kepler-5 b","Kepler-5",,,299.4070341,44.0350387,899.7770000
"KOI-94 c","KOI-94",,,297.3330716,41.8911186,477.0520000
"KOI-94 e","KOI-94",,6.310,297.3330716,41.8911186,477.0520000
"WASP-33 b","WASP-33",,,36.7127375,37.5504441,121.9440000
"Kepler-12 b","Kepler-12",136.97900,18.999,286.2434458,50.0403671,881.3860000
"WASP-64 b","WASP-64",403.94500,14.247,101.1149223,-32.8583878,369.9260000
"Kepler-18 b","Kepler-18",,1.778,298.0794448,44.7462480,433.0470000
"Kepler-447 b","Kepler-447",,16.510,285.2685283,48.5598835,268.0410000
"WASP-18 b","WASP-18",3314.83000,13.059,24.3544618,-45.6777937,123.4830000
"HAT-P-30 b","HAT-P-30",225.96800,15.020,123.9498431,5.8368669,213.9850000
"HAT-P-13 c","HAT-P-13",,,129.8823772,47.3519076,246.8100000
"HAT-P-33 b","HAT-P-33",242.17600,18.898,113.1842383,33.8350214,396.1100000
"HAT-P-40 b","HAT-P-40",195.45700,19.392,335.5129199,45.4573423,464.4690000
"HAT-P-41 b","HAT-P-41",254.25300,18.887,297.3226523,4.6724124,348.1850000
"HD 209458 b","HD 209458",226.93062,15.468,330.7950219,18.8842419,48.3016000
"KELT-3 b","KELT-3",469.41500,15.076,148.6431193,40.3879446,210.2520000
"WASP-65 b","WASP-65",492.62000,12.464,133.3242982,8.5230171,273.7030000
"HAT-P-13 c","HAT-P-13",,,129.8823772,47.3519076,246.8100000
"HAT-P-30 b","HAT-P-30",230.74458,,123.9498431,5.8368669,213.9850000
"WASP-12 b","WASP-12",441.78370,,97.6366450,29.6722662,427.2460000
"WASP-14 b","WASP-14",2479.07400,,218.2766247,21.8946875,161.9970000
"WASP-97 b","WASP-97",419.52000,12.670,24.6051389,-55.7720006,151.0680000
"WASP-100 b","WASP-100",645.17000,18.940,68.9598159,-64.0270390,364.4110000
"HD 209458 b","HD 209458",,15.099,330.7950219,18.8842419,48.3016000
"HD 209458 b","HD 209458",,,330.7950219,18.8842419,48.3016000
"HD 209458 b","HD 209458",197.05000,15.920,330.7950219,18.8842419,48.3016000
"WASP-18 b","WASP-18",3314.96690,13.058,24.3544618,-45.6777937,123.4830000
"HAT-P-13 b","HAT-P-13",270.46200,14.258,129.8823772,47.3519076,246.8100000
"Qatar-1 b","Qatar-1",,,303.3818697,65.1623313,185.6150000
"WASP-14 b","WASP-14",2412.32970,13.899,218.2766247,21.8946875,161.9970000
"WASP-12 b","WASP-12",444.96200,19.392,97.6366450,29.6722662,427.2460000
"WASP-14 b","WASP-14",2510.85700,18.304,218.2766247,21.8946875,161.9970000
"Kepler-396 b","Kepler-396",75.50000,3.500,296.1328135,48.9773095,223.7570000
"TOI-251 b","TOI-251",,,353.0620655,-37.2558629,99.5230000
"WASP-132 c","WASP-132",37.35000,1.850,217.6091998,-46.1595160,122.9100000
"WASP-36 b","WASP-36",729.73768,14.359,131.5803897,-8.0269855,386.3460000
"HAT-P-19 b","HAT-P-19",88.03847,11.299,9.5165832,34.7114025,202.0780000
"TOI-640 b","TOI-640",279.69040,19.851,99.7345935,-36.6461300,341.9970000
"KOI-12 b","KOI-12",,13.160,297.4537402,41.0110188,399.3980000
"WASP-132 b","WASP-132",,,217.6091998,-46.1595160,122.9100000
"TOI-5218 b","TOI-5218",657.00000,9.860,292.6634642,71.7629612,377.4830000
"CoRoT-2 b","CoRoT-2",1134.65310,16.365,291.7770457,1.3836634,213.2830000
"GJ 436 b","GJ 436",,,175.5505363,26.7030669,9.7532100
"TOI-532 b","TOI-532",,5.611,85.0800537,11.5626373,135.0470000
"HATS-75 b","HATS-75",,9.665,60.9493919,-25.4089214,194.9640000
"HIP 29442 d","HD 42813",5.10000,1.370,93.0578446,-14.6493167,68.1920000
"TOI-220 b","TOI-220",,2.848,91.7996988,-61.9972098,90.7402000
"HD 15337 c","HD 15337",8.79000,2.522,36.8678846,-27.6361171,44.8155000
"HAT-P-61 b","HAT-P-61",,11.373,75.4801665,50.1311784,338.8400000
"TOI-139 b","TOI-139",,2.457,336.4024144,-34.9097131,42.4061000
"WASP-91 b","WASP-91",,,357.8464340,-70.1528621,149.9420000
"TOI-3540 A b","TOI-3540 A",375.03752,23.539,328.9113712,28.1794996,
"TOI-4153 b","TOI-4153",,16.663,335.3934698,82.2160792,423.8400000
"HATS-24 b","HATS-24",,,268.8907069,-61.7474000,494.1820000
"HAT-P-14 b","HAT-P-14",,,260.1161719,38.2421682,222.6630000
"HAT-P-17 c","HAT-P-17",,,324.5359781,30.4881882,92.3831000
"HAT-P-17 c","HAT-P-17",,,324.5359781,30.4881882,92.3831000
"HAT-P-20 b","HAT-P-20",2301.08920,,111.9164295,24.3361185,71.0374000
"HAT-P-25 b","HAT-P-25",,,48.4354731,25.1973548,300.3840000
"HAT-P-25 b","HAT-P-25",,,48.4354731,25.1973548,300.3840000
"HAT-P-27 b","HAT-P-27",,,222.7673221,5.9473626,199.1730000
"HAT-P-31 b","HAT-P-31",682.38101,11.994,271.5376722,26.4266061,344.0500000
"HAT-P-36 b","HAT-P-36",582.24000,14.168,188.2662048,44.9153672,294.4190000
"HAT-P-3 b","HAT-P-3",190.38017,9.976,206.0940142,48.0285650,134.5540000
"HAT-P-4 b","HAT-P-4",216.12440,14.235,229.9912200,36.2295450,320.4510000
"HAT-P-8 b","HAT-P-8",406.82240,15.693,343.0414932,35.4471778,211.5530000
"TrES-1 b","TrES-1",,,286.0408755,36.6325360,159.6580000
"WASP-13 b","WASP-13",,,140.1029654,33.8823291,227.5370000
"WASP-17 b","WASP-17",168.13207,,239.9622479,-28.0617941,405.9080000
"WASP-21 b","WASP-21",93.75985,14.157,347.4928024,18.3961597,258.4260000
"WASP-26 b","WASP-26",326.71500,14.359,4.6030424,-15.2674044,252.7590000
"WASP-32 b","WASP-32",835.89290,10.761,3.9617073,1.2005122,275.9940000
"WASP-34 b","WASP-34",181.16310,,165.3993679,-23.8609457,132.0960000
"WASP-35 b","WASP-35",222.79883,14.796,76.0818912,-6.2297801,202.2180000
"WASP-35 b","WASP-35",,14.862,76.0818912,-6.2297801,202.2180000
"TOI-169 b","TOI-169",,,16.7786879,-75.1989452,407.8400000
"Kepler-26 d","Kepler-26",,1.070,284.9410627,46.5664505,335.3070000
"Kepler-26 b","Kepler-26",,3.693,284.9410627,46.5664505,335.3070000
"Kepler-26 e","Kepler-26",,2.572,284.9410627,46.5664505,335.3070000
"Kepler-26 c","Kepler-26",,2.730,284.9410627,46.5664505,335.3070000
"Kepler-26 b","Kepler-26",,3.250,284.9410627,46.5664505,335.3070000
"Kepler-26 c","Kepler-26",6.10000,2.500,284.9410627,46.5664505,335.3070000
"Kepler-26 d","Kepler-26",,,284.9410627,46.5664505,335.3070000
"Kepler-26 b","Kepler-26",,3.080,284.9410627,46.5664505,335.3070000
"WASP-173 A b","WASP-173 A",1172.79270,13.451,354.1686959,-34.6113042,232.9800000
"Kepler-6 b","Kepler-6",,,296.8372475,48.2399695,587.0390000
